Last Name,First Name,Middle Name,Suffix,Birth Month,Birth Day,Birth Year,Birth City,Birth State,Death Month,Death Day,Death Year,Death City,Death State,Gender,Race or Ethnicity,Court Type (1),Court Name (1),Appointment Title (1),Appointing President (1),Party of Appointing President (1),Reappointing President (1),Party of Reappointing President (1),ABA Rating (1),Seat ID (1),Recess Appointment Date (1),Nomination Date (1),Committee Referral Date (1),Hearing Date (1),Judiciary Committee Action (1),Committee Action Date (1),Senate Vote Type (1),Ayes/Nays (1),Confirmation Date (1),Commission Date (1),Senior Status Date (1),Termination (1),Termination Date (1),Court Type (2),Court Name (2),Appointment Title (2),Appointing President (2),Party of Appointing President (2),Reappointing President (2),Party of Reappointing President (2),ABA Rating (2),Seat ID (2),Recess Appointment Date (2),Nomination Date (2),Committee Referral Date (2),Hearing Date (2),Judiciary Committee Action (2),Committee Action Date (2),Senate Vote Type (2),Ayes/Nays (2),Confirmation Date (2),Commission Date (2),Senior Status Date (2),Termination (2),Termination Date (2),Other Federal Judicial Service (1),Other Federal Judicial Service (2),Other Federal Judicial Service (3),Other Federal Judicial Service (4),School (1),Degree (1),Degree Year (1),School (2),Degree (2),Degree Year (2),School (3),Degree (3),Degree Year (3),School (4),Degree (4),Degree Year (4),School (5),Degree (5),Degree Year (5),Professional Career,Other Nominations/Recess Appointments
O'Connor,Sandra,Day, ,,,1930,El Paso,TX,,,, , ,Female,White,Supreme Court,Supreme Court of the United States,Associate Justice,Ronald Reagan,Republican,,,,SCT0910,,8/19/1981,8/19/1981,9/9/1981,Reported (favorably),9/15/1981,Roll Call, 99/0,9/21/1981,9/22/1981,1/31/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanford University,A.B.,1950,Stanford Law School,LL.B.,1952,,,,,,,,,,"Deputy county attorney, San Mateo County, California, 1952-1953; Civil attorney, Quartermaster Market Center, Frankfurt, Germany, 1954-1957; Private practice, Phoenix, Arizona, 1957-1965; Assistant attorney general, State of Arizona, 1965-1969; State senator, Arizona, 1969-1975; majority leader, 1973-1974; Judge, Superior Court of Arizona, Maricopa County, 1975-1979; Judge, Arizona Court of Appeals, 1979-1981",
Souter,David,Hackett, ,,,1939,Melrose,MA,,,, , ,Male,White,Supreme Court,Supreme Court of the United States,Associate Justice,George H.W. Bush,Republican,,,Well Qualified,SCT0416,,7/25/1990,7/25/1990,9/13/1990,Reported (favorably),10/1/1990,Roll Call, 90/9,10/2/1990,10/3/1990,6/30/2009,,,U.S. Court of Appeals,U.S. Court of Appeals for the First Circuit,Judge,George H.W. Bush,Republican,,,Well Qualified,CA10207,,1/24/1990,1/24/1990,4/5/1990,Reported (favorably),4/26/1990,Voice,  ,4/27/1990,4/30/1990,,Appointment to Another Judicial Position,10/8/1990,,,,,Harvard College,B.A.,1961,"University of Oxford, Magdalen College",B.A.,1963,"University of Oxford, Magdalen College",M.A.,1963,Harvard Law School,LL.B.,1966,,,,"Rhodes scholar, Magdalen College, Oxford University, 1961-1963; Private practice, Concord, New Hampshire, 1966-1968; Assistant attorney general, State of New Hampshire, 1968-1971; Deputy attorney general, State of New Hampshire, 1971-1976; Attorney general, State of New Hampshire, 1976-1978; Associate justice, Superior Court of New Hampshire, 1978-1983; Associate justice, Supreme Court of New Hampshire, 1983-1990",
Stevens,John,Paul, ,,,1920,Chicago,IL,,,, , ,Male,White,Supreme Court,Supreme Court of the United States,Associate Justice,Gerald Ford,Republican,,,,SCT0512,,11/28/1975,12/1/1975,12/8/1975,Reported (favorably),12/11/1975,Roll Call, 98/0,12/17/1975,12/17/1975,6/30/2010,,,U.S. Court of Appeals,U.S. Court of Appeals for the Seventh Circuit,Judge,Richard M. Nixon,Republican,,,Well Qualified,CA70603,,9/22/1970,9/22/1970,10/1/1970,Reported (favorably),10/7/1970,Voice,  ,10/8/1970,10/14/1970,,Appointment to Another Judicial Position,12/18/1975,,,,,University of Chicago,B.A.,1941,Northwestern University School of Law,J.D.,1947,,,,,,,,,,"U.S. Naval Reserve lieutenant commander, 1942-1945; Law clerk, Hon. Wiley Rutledge, Supreme Court of the United States, 1947-1948; Private practice, Chicago, Illinois, 1948-1970; Lecturer, Northwestern University School of Law, 1950-1954; Associate counsel, Subcommittee on the Study of Monopoly Power, U.S. House of Representatives Committee on the Judiciary, 1951; Member, Attorney General's Committee to Study Antitrust Laws, U.S. Department of Justice, 1953-1955; Lecturer, University of Chicago School of Law, 1954-1958; Presiding officer, Judicial Conference of the United States, 2005",
Kennedy,Anthony,McLeod, ,,,1936,Sacramento,CA,,,, , ,Male,White,Supreme Court,Supreme Court of the United States,Associate Justice,Ronald Reagan,Republican,,,Well Qualified,SCT0213,,11/30/1987,11/30/1987,12/14/1987,Reported (favorably),2/1/1988,Roll Call, 97/0,2/3/1988,2/11/1988,7/31/2018,,,U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Gerald Ford,Republican,,,Qualified,CA90803,,3/3/1975,3/3/1975,3/18/1975,Reported (favorably),3/19/1975,Voice,  ,3/20/1975,3/24/1975,,Appointment to Another Judicial Position,2/17/1988,,,,,Stanford University,B.A.,1958,Harvard Law School,J.D.,1961,,,,,,,,,,"Private practice, San Francisco, California, 1961-1963; California Army National Guard private first class, 1961; Private practice, Sacramento, California, 1963-1975; Professor of constitutional law, University of the Pacific, McGeorge School of Law, 1965-1987; Board member, Federal Judicial Center, 1987-1988",
Thomas,Clarence, , ,,,1948,Savannah,GA,,,, , ,Male,African American,Supreme Court,Supreme Court of the United States,Associate Justice,George H.W. Bush,Republican,,,Qualified,SCT1108,,7/8/1991,7/8/1991,9/10/1991,Reported (without recommendation),10/1/1991,Roll Call, 52/48,10/15/1991,10/18/1991,,,,U.S. Court of Appeals,U.S. Court of Appeals for the District of Columbia Circuit,Judge,George H.W. Bush,Republican,,,Qualified,CADC0505,,10/30/1989,10/31/1989,2/6/1990,Reported (favorably),2/22/1990,Voice,  ,3/6/1990,3/6/1990,,Appointment to Another Judicial Position,10/17/1991,,,,,College of the Holy Cross,B.A.,1971,Yale Law School,J.D.,1974,,,,,,,,,,"Assistant attorney general, Jefferson City, Missouri, 1974-1977; Attorney, Monsanto Company, St. Louis, Missouri, 1977-1979; Legislative assistant, U.S. Sen. John C. Danforth ofMissouri, 1979-1981; Assistant secretary for civil rights, U.S. Department of Education, 1981-1982; Chairman, Equal Employment Opportunity Commission, 1982-1990",
Ginsburg,Ruth,Bader, ,,,1933,Brooklyn,NY,,,, , ,Female,White,Supreme Court,Supreme Court of the United States,Associate Justice,William J. Clinton,Democratic,,,Well Qualified,SCT0713,,6/22/1993,6/22/1993,7/20/1993,Reported (favorably),7/29/1993,Roll Call, 96/3,8/3/1993,8/5/1993,,,,U.S. Court of Appeals,U.S. Court of Appeals for the District of Columbia Circuit,Judge,Jimmy Carter,Democratic,,,Exceptionally Well Qualified,CADC0307,,4/14/1980,4/15/1980,6/4/1980,Reported (favorably),6/17/1980,Voice,  ,6/18/1980,6/18/1980,,Appointment to Another Judicial Position,8/9/1993,,,,,Harvard Law School,, ,Cornell University,A.B.,1954,Columbia Law School,LL.B.,1959,,,,,,,"Legal secretary, Hon. Edmund L. Palmieri, U.S. District Court, Southern District of New York, 1959-1961; Columbia Law School Project on International Procedure, 1961-1963; research associate, 1961-1962; associate director, 1962-1963; Professor, Rutgers Law School, 1963-1972; Professor, Columbia Law School, 1972-1980; American Civil Liberties Union, 1972-1980; counsel, Women's Rights Project, 1972-1980; general counsel, 1973-1980; member, national board of directors, 1974-1980; Fellow, Center for Advanced Study in Behavioral Sciences, Stanford, California, 1977-1978",
Kavanaugh,Brett,M., ,,,1965,Washington,DC,,,, , ,Male,White,Supreme Court,Supreme Court of the United States,Associate Justice,Donald J. Trump,Republican,,,Well Qualified,SCT0214,,7/10/2018,7/10/2018,9/4/2018,Reported (favorably),9/28/2018,Roll Call, 50/48,10/6/2018,10/6/2018,,,,U.S. Court of Appeals,U.S. Court of Appeals for the District of Columbia Circuit,Judge,George W. Bush,Republican,,,Qualified,CADC1302,,1/25/2006,1/25/2006,5/9/2006,Reported (favorably),5/11/2006,Roll Call, 57/36,5/26/2006,5/30/2006,,Appointment to Another Judicial Position,10/5/2018,,,,,Yale College,B.A.,1987,Yale Law School,J.D.,1990,,,,,,,,,,"Law clerk, Hon. Walter K. Stapleton, U.S. Court of Appeals for the Third Circuit, 1990-1991; Law clerk, Hon. Alex Kozinski, U.S. Court of Appeals for the Ninth Circuit, 1991-1992; Attorney, Office of the Solicitor General, U.S. Department of Justice, 1992-1993; Law clerk, Hon. Anthony M. Kennedy, Supreme Court of the United States, 1993-1994; Associate independent counsel, Whitewater investigation, 1994-1997, 1998; Private practice, 1997-1998, 1999-2001; Associate counsel, President George W. Bush, 2001-2003; senior associate counsel, 2003; Assistant to the president and staff secretary, President George W. Bush, 2003-2006","Nominated to U.S. Court of Appeals for the District of Columbia Circuit, July 25, 2003; no Senate vote; Nominated to U.S. Court of Appeals for the District of Columbia Circuit, February 14, 2005; no Senate vote"
Breyer,Stephen,Gerald, ,,,1938,San Francisco,CA,,,, , ,Male,White,Supreme Court,Supreme Court of the United States,Associate Justice,William J. Clinton,Democratic,,,Well Qualified,SCT0313,,5/17/1994,5/17/1994,7/12/1994,Reported (favorably),7/25/1994,Roll Call, 87/9,7/29/1994,8/3/1994,,,,U.S. Court of Appeals,U.S. Court of Appeals for the First Circuit,Judge,Jimmy Carter,Democratic,,,Qualified,CA10401,,11/13/1980,11/13/1980,11/17/1980,Reported (favorably),11/17/1980,Roll Call, 80/10,12/9/1980,12/10/1980,,Appointment to Another Judicial Position,8/2/1994,,,,,Stanford University,A.B.,1959,University of Oxford,B.A.,1961,Harvard Law School,LL.B.,1964,,,,,,,"U.S. Army, 1957; Law clerk, Hon. Arthur Goldberg, Supreme Court of the United States, 1964-1965; Special assistant to the assistant attorney general, Antitrust Division, U.S. Department of Justice, 1965-1967; Faculty, Harvard Law School, 1967-1994; professor, 1967-1980; lecturer, 1981-1994; Professor, Kennedy School of Government, Harvard University, 1977-1980; Assistant special prosecutor, Watergate Special Prosecution Force, 1973; Special counsel, Administrative Practices Subcommittee, U.S. Senate Committee on the Judiciary, 1974-1975; Chief counsel, U.S. Senate Committee on the Judiciary, 1979-1980; Commissioner, U.S. Sentencing Commission, 1985-1989; Member, Judicial Conference of the United States, 1990-1994",
Sotomayor,Sonia, , ,,,1954,Bronx,NY,,,, , ,Female,Hispanic,Supreme Court,Supreme Court of the United States,Associate Justice,Barack Obama,Democratic,,,Well Qualified,SCT0417,,6/1/2009,6/1/2009,7/16/2009,Reported (favorably),7/28/2009,Roll Call, 68/31,8/6/2009,8/6/2009,,,,U.S. Court of Appeals,U.S. Court of Appeals for the Second Circuit,Judge,William J. Clinton,Democratic,,,Well Qualified,CA21502,,6/25/1997,6/25/1997,9/30/1997,Reported (favorably),3/5/1998,Roll Call, 68/28,10/2/1998,10/7/1998,,Appointment to Another Judicial Position,8/7/2009,,,,,Princeton University,B.A.,1976,Yale Law School,J.D.,1979,,,,,,,,,,"Assistant district attorney, New York County, New York, 1979-1984; Private practice, New York City, 1984-1992",
Gorsuch,Neil,M., ,,,1967,Denver,CO,,,, , ,Male,White,Supreme Court,Supreme Court of the United States,Associate Justice,Donald J. Trump,Republican,,,Well Qualified,SCT1008,,2/1/2017,2/1/2017,3/20/2017,Reported (favorably),4/3/2017,Roll Call, 54/45,4/7/2017,4/8/2017,,,,U.S. Court of Appeals,U.S. Court of Appeals for the Tenth Circuit,Judge,George W. Bush,Republican,,,Well Qualified,CA100105,,5/10/2006,5/10/2006,6/21/2006,Reported (favorably),7/13/2006,Voice,  ,7/20/2006,8/8/2006,,Appointment to Another Judicial Position,4/9/2017,,,,,Columbia University,B.A.,1988,Harvard Law School,J.D.,1991,University of Oxford,D.Phil.,2004,,,,,,,"Law clerk, Hon. David B. Sentelle, U.S. Court of Appeals for the District of Columbia Circuit, 1991-1992; Law clerk, Hon. Byron R. White and Anthony M. Kennedy, Supreme Court of the United States, 1993-1994; Private practice, Washington, D.C.,1995-2005; Principal deputy to the associate attorney general and acting associate attorney general, U.S. Department of Justice, 2005-2006",
