Last_Name,First_Name,Middle_Name,Suffix,Birth_Month,Birth_Day,Birth_Year,Birth_City,Birth_State,Death_Month,Death_Day,Death_Year,Death_City,Death_State,Gender,Race_or_Ethnicity,Court_Type_1,Court_Name_1,Appointment_Title_1,Appointing_President_1,Party_of_Appointing_President_1,ABA_Rating_1,Recess_Appointment_Date_1,Nomination_Date_1,Committee_Referral_Date_1,Hearing_Date_1,Judiciary_Committee_Action_1,Committee_Action_Date_1,Senate_Vote_Type_1,Ayes_n_Nays_1,Confirmation_Date_1,Commission_Date_1,Senior_Status_Date_1,Termination_1,Termination_Date_1,School_1,Degree_1,Degree_Year_1,School_2,Degree_2,Degree_Year_2,School_3,Degree_3,Degree_Year_3,School_4,Degree_4,Degree_Year_4,School_5,Degree_5,Degree_Year_5,Birth_Date,Death_Date,Full_Name,Appointing_President_Num_1,Appointing_President_State_1,Court_Circuit_1,Court_Abbrev_Bluebook_1,Court_Abbrev_Website_1,Court_State_1,Court_Code,Vacancy_Reason,Filings_Per_Seat_Weighted,Filings_Per_Panel_Adjusted,Vacancy_Date,Vacancy_Duration_ATSCRAPE,Seat_Code_1,Other_Nomination,Other_Rejection,Confirmation_Duration_Total,Service_Duration_1,Service_Duration_2,Appointment_Age_1,Appointment_Age_Earliest
Bryant,Vanessa,Lynne, ,9,30,1954,Queens,NY,9,30,1677, , ,Female,AfriAmerican,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,George W. Bush,Republican,Qualified,,2007-01-09,2007-01-09,,Reported (favorably),2007-03-08,Voice,  ,2007-03-28,2007-04-02,,,,Howard University,B.A.,1975-01-01,University of Connecticut School of Law,J.D.,1978-01-01,,,,,,,,,,1954-09-30,1677-09-30,Vanessa Lynne Bryant,43,TX,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-08,"['Nominated to U.S. District Court for the District of Connecticut, January 25, 2006']",[],78 days 00:00:00.000000000,,,52.277596391438564,52.277596391438564
Hall,Janet,C., ,9,30,1948,Lowell,MA,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,Well Qualified,,1997-06-05,1997-06-05,1997-07-22,Reported (favorably),1997-07-31,Roll Call, 98/1,1997-09-11,1997-09-18,,,,Mount Holyoke College,A.B.,1970-01-01,New York University School of Law,J.D.,1973-01-01,,,,,,,,,,1948-09-30,1677-09-30,Janet C. Hall,42,AK,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-02,,,98 days 00:00:00.000000000,,,48.679986584255666,48.679986584255666
Underhill,Stefan,R., ,9,30,1956,Battle Creek,MI,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,Well Qualified,,1999-01-26,1999-01-26,1999-06-16,Reported (favorably),1999-06-24,Roll Call, 94/4,1999-06-30,1999-07-07,,,,University of Virginia,B.A.,1978-01-01,University of Oxford,B.A.,1981-01-01,Yale Law School,J.D.,1984-01-01,,,,,,,1956-09-30,1677-09-30,Stefan R. Underhill,42,AK,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-04,,,155 days 00:00:00.000000000,,,42.32256651402835,42.32256651402835
Bolden,Victor,Allen, ,9,30,1965,New York,NY,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Barack Obama,Democratic,Well Qualified,,2014-06-16,2014-06-16,2014-07-29,Reported (favorably),2014-09-18,Roll Call, 49/46,2014-11-20,2014-11-21,,,,Columbia University,A.B.,1986-01-01,Harvard Law School,J.D.,1989-01-01,,,,,,,,,,1965-09-30,1677-09-30,Victor Allen Bolden,44,IL,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-01,,,157 days 00:00:00.000000000,,,48.71010356133254,48.71010356133254
Shea,Michael,Peter, ,9,30,1967,Hartford,CT,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Barack Obama,Democratic,Qualified,,2012-02-02,2012-02-02,2012-03-28,Reported (favorably),2012-04-26,Roll Call, 72/23,2012-12-05,2012-12-07,,,,Amherst College,B.A.,1989-01-01,Yale Law School,J.D.,1993-01-01,,,,,,,,,,1967-09-30,1677-09-30,Michael Peter Shea,44,IL,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-06,,,307 days 00:00:00.000000000,,,44.34314188518587,44.34314188518587
Meyer,Jeffrey,Alker, ,9,30,1963,North Tarrytown,NY,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Barack Obama,Democratic,Well Qualified,,2014-01-06,2014-01-06,,Reported (favorably),2014-01-16,Roll Call, 91/2,2014-02-24,2014-02-25,,,,Yale College,B.A.,1985-01-01,Yale Law School,J.D.,1989-01-01,,,,,,,,,,1963-09-30,1677-09-30,Jeffrey Alker Meyer,44,IL,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-07,"['Nominated to U.S. District Court for the District of Connecticut, June 7, 2013']",[],49 days 00:00:00.000000000,,,50.270710555315986,50.270710555315986
Dooley,Kari,Anne,,9,30,1963,New York,NY,9,30,1677,,,Female,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Donald J. Trump,Republican,Well Qualified,,2017-12-20,2017-12-20,2018-03-07,Reported (favorably),2018-04-19,Voice,,2018-09-06,2018-09-13,,,,Cornell University,B.A.,1985-01-01,University of Connecticut School of Law,J.D.,1988-01-01,,,,,,,,,,1963-09-30,1677-09-30,,45,NY,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-05,,,260 days 00:00:00.000000000,,,54.22424827340739,54.22424827340739
Bennett,Richard,D., ,9,30,1947,Baltimore,MD,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,George W. Bush,Republican,Well Qualified,,2003-01-29,2003-01-29,2003-03-27,Reported (favorably),2003-04-03,Roll Call, 99/0,2003-04-09,2003-04-10,,,,University of Pennsylvania,B.A.,1969-01-01,University of Maryland School of Law,J.D.,1973-01-01,,,,,,,,,,1947-09-30,1677-09-30,Richard D. Bennett,43,TX,4,D. Md.,04 - MD,MD,,,,,,,04-MD-07,,,70 days 00:00:00.000000000,,,55.33310061123774,55.33310061123774
Blake,Catherine,C., ,9,30,1950,Boston,MA,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,William J. Clinton,Democratic,Well Qualified,,1995-05-04,1995-05-04,1995-07-18,Reported (favorably),1995-07-28,Voice,  ,1995-08-11,1995-08-14,,,,Radcliffe College,A.B.,1972-01-01,Harvard Law School,J.D.,1975-01-01,,,,,,,,,,1950-09-30,1677-09-30,Catherine C. Blake,42,AK,4,D. Md.,04 - MD,MD,,,,,,,04-MD-10,,,99 days 00:00:00.000000000,,,44.59229142282182,44.59229142282182
Chuang,Theodore,David, ,9,30,1969,Media,PA,9,30,1677, , ,Male,Asian American,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,Well Qualified,,2014-01-06,2014-01-06,,Reported (favorably),2014-01-16,Roll Call, 53/42,2014-05-01,2014-05-02,,,,Harvard College,B.A.,1991-01-01,Harvard Law School,J.D.,1994-01-01,,,,,,,,,,1969-09-30,1677-09-30,Theodore David Chuang,44,IL,4,D. Md.,04 - MD,MD,,,,,,,04-MD-03,"['Nominated to U.S. District Court for the District of Maryland, September 25, 2013']",[],115 days 00:00:00.000000000,,,44.26921839599718,44.26921839599718
