nid,jid,Last_Name,First_Name,Middle_Name,Suffix,Birth_Month,Birth_Day,Birth_Year,Birth_City,Birth_State,Death_Month,Death_Day,Death_Year,Death_City,Death_State,Gender,Race_or_Ethnicity,Court_Type_1,Court_Name_1,Appointment_Title_1,Appointing_President_1,Party_of_Appointing_President_1,Reappointing_President_1,Party_of_Reappointing_President_1,ABA_Rating_1,Seat_ID_1,Statute_Authorizing_New_Seat_1,Recess_Appointment_Date_1,Nomination_Date_1,Committee_Referral_Date_1,Hearing_Date_1,Judiciary_Committee_Action_1,Committee_Action_Date_1,Senate_Vote_Type_1,Ayes_n_Nays_1,Confirmation_Date_1,Commission_Date_1,Service_as_Chief_Judge_Begin_1,Service_as_Chief_Judge_End_1,2nd_Service_as_Chief_Judge_Begin_1,2nd_Service_as_Chief_Judge_End_1,Senior_Status_Date_1,Termination_1,Termination_Date_1,Court_Type_2,Court_Name_2,Appointment_Title_2,Appointing_President_2,Party_of_Appointing_President_2,Reappointing_President_2,Party_of_Reappointing_President_2,ABA_Rating_2,Seat_ID_2,Statute_Authorizing_New_Seat_2,Recess_Appointment_Date_2,Nomination_Date_2,Committee_Referral_Date_2,Hearing_Date_2,Judiciary_Committee_Action_2,Committee_Action_Date_2,Senate_Vote_Type_2,Ayes_n_Nays_2,Confirmation_Date_2,Commission_Date_2,Service_as_Chief_Judge_Begin_2,Service_as_Chief_Judge_End_2,2nd_Service_as_Chief_Judge_Begin_2,2nd_Service_as_Chief_Judge_End_2,Senior_Status_Date_2,Termination_2,Termination_Date_2,Court_Type_3,Court_Name_3,Appointment_Title_3,Appointing_President_3,Party_of_Appointing_President_3,Reappointing_President_3,Party_of_Reappointing_President_3,ABA_Rating_3,Seat_ID_3,Statute_Authorizing_New_Seat_3,Recess_Appointment_Date_3,Nomination_Date_3,Committee_Referral_Date_3,Hearing_Date_3,Judiciary_Committee_Action_3,Committee_Action_Date_3,Senate_Vote_Type_3,Ayes_n_Nays_3,Confirmation_Date_3,Commission_Date_3,Service_as_Chief_Judge_Begin_3,Service_as_Chief_Judge_End_3,2nd_Service_as_Chief_Judge_Begin_3,2nd_Service_as_Chief_Judge_End_3,Senior_Status_Date_3,Termination_3,Termination_Date_3,Court_Type_4,Court_Name_4,Appointment_Title_4,Appointing_President_4,Party_of_Appointing_President_4,Reappointing_President_4,Party_of_Reappointing_President_4,ABA_Rating_4,Seat_ID_4,Statute_Authorizing_New_Seat_4,Recess_Appointment_Date_4,Nomination_Date_4,Committee_Referral_Date_4,Hearing_Date_4,Judiciary_Committee_Action_4,Committee_Action_Date_4,Senate_Vote_Type_4,Ayes_n_Nays_4,Confirmation_Date_4,Commission_Date_4,Service_as_Chief_Judge_Begin_4,Service_as_Chief_Judge_End_4,2nd_Service_as_Chief_Judge_Begin_4,2nd_Service_as_Chief_Judge_End_4,Senior_Status_Date_4,Termination_4,Termination_Date_4,Court_Type_5,Court_Name_5,Appointment_Title_5,Appointing_President_5,Party_of_Appointing_President_5,Reappointing_President_5,Party_of_Reappointing_President_5,ABA_Rating_5,Seat_ID_5,Statute_Authorizing_New_Seat_5,Recess_Appointment_Date_5,Nomination_Date_5,Committee_Referral_Date_5,Hearing_Date_5,Judiciary_Committee_Action_5,Committee_Action_Date_5,Senate_Vote_Type_5,Ayes_n_Nays_5,Confirmation_Date_5,Commission_Date_5,Service_as_Chief_Judge_Begin_5,Service_as_Chief_Judge_End_5,2nd_Service_as_Chief_Judge_Begin_5,2nd_Service_as_Chief_Judge_End_5,Senior_Status_Date_5,Termination_5,Termination_Date_5,Court_Type_6,Court_Name_6,Appointment_Title_6,Appointing_President_6,Party_of_Appointing_President_6,Reappointing_President_6,Party_of_Reappointing_President_6,ABA_Rating_6,Seat_ID_6,Statute_Authorizing_New_Seat_6,Recess_Appointment_Date_6,Nomination_Date_6,Committee_Referral_Date_6,Hearing_Date_6,Judiciary_Committee_Action_6,Committee_Action_Date_6,Senate_Vote_Type_6,Ayes_n_Nays_6,Confirmation_Date_6,Commission_Date_6,Service_as_Chief_Judge_Begin_6,Service_as_Chief_Judge_End_6,2nd_Service_as_Chief_Judge_Begin_6,2nd_Service_as_Chief_Judge_End_6,Senior_Status_Date_6,Termination_6,Termination_Date_6,Other_Federal_Judicial_Service_1,Other_Federal_Judicial_Service_2,Other_Federal_Judicial_Service_3,Other_Federal_Judicial_Service_4,School_1,Degree_1,Degree_Year_1,School_2,Degree_2,Degree_Year_2,School_3,Degree_3,Degree_Year_3,School_4,Degree_4,Degree_Year_4,School_5,Degree_5,Degree_Year_5,Professional_Career,Other_Nominations_n_Recess_Appointments,Birth_Date,Death_Date,Full_Name,Appointing_President_Num_1,Appointing_President_State_1,Court_Circuit_1,Court_Abbrev_Bluebook_1,Court_Abbrev_Website_1,Court_State_1,Vacancy_Date,Vacancy_Duration_ATSCRAPE,Seat_Code_1,Other_Nomination,Other_Rejection,Confirmation_Duration_Total,Service_Duration_1,Service_Duration_2,Appointment_Age_1,Appointment_Age_Earliest,Court_Code,Vacancy_Reason,Filings_Per_Seat_Weighted,Filings_Per_Panel_Adjusted
1391746,2982,Quarles,William,D.,Jr.,9,30,1948,Baltimore,MD,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the District of Maryland,Judge,George W. Bush,Republican,,,Well Qualified,MDD0207, ,,2003-01-07,2003-01-07,2003-02-05,Reported (favorably),2003-02-27,Roll Call, 91/0,2003-03-12,2003-03-14,,,,,,Retirement,2016-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community College of Baltimore,A.A.,1967-01-01,University of Maryland,B.S.,1976-01-01,Catholic University of AmeriColumbus School of Law,J.D.,1979-01-01,,,,,,,"Law clerk, Hon. Joseph C. Howard, U.S. District Court, District of Maryland, 1979-1981; Private practice, 1981-1982; Assistant U.S. attorney, District of Maryland, 1982-1986; Private practice, Baltimore, Maryland, 1986-1996; Associate judge, Maryland Circuit Court, Baltimore City, 1996-2003","Nominated to U.S. District Court for the District of Maryland, June 2, 1992; no Senate vote; Nominated to U.S. District Court for the District of Maryland, September 12, 2002; no Senate vote",1948-09-30,1677-09-30,"William D. Quarles, Jr.",43,TX,4,D. Md.,04 - MD,MD,2016-02-01,1251 days 00:46:06.142480000,04-MD-02,"['Nominated to U.S. District Court for the District of Maryland, June 2, 1992; no Senate vote; Nominated to U.S. District Court for the District of Maryland, September 12, 2002']",[],64 days 00:00:00.000000000,4707 days 00:00:00.000000000,,54.2707926925262,54.2707926925262,04 - MD,Retired,490,0
1382481,1110,Huff,Marilyn,L., ,9,30,1951,Ann Arbor,MI,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the Southern District of California,Judge,George H.W. Bush,Republican,,,Well Qualified,CASD1803, ,,1991-03-12,1991-03-12,1991-04-24,Reported (favorably),1991-05-09,Voice,  ,1991-05-09,1991-05-14,1970-01-01,1970-01-01,,,2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calvin College,B.A.,1972-01-01,University of Michigan Law School,J.D.,1976-01-01,,,,,,,,,,"Private practice, San Diego, California, 1976-1991",,1951-09-30,1677-09-30,Marilyn L. Huff,41,TX,9,S.D. Cal.,09 - CA-S,DE,2016-09-30,1009 days 00:46:06.142480000,09-CA-S-18,,,58 days 00:00:00.000000000,9271 days 00:00:00.000000000,,39.44776415669042,39.44776415669042,09 - CA-S,Senior,651,0
1392776,3188,Anello,Michael,M., ,9,30,1943,Miami,FL,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of California,Judge,George W. Bush,Republican,,,Well Qualified,CASD2103, ,,2008-04-30,2008-04-30,2008-09-09,Reported (favorably),2008-09-25,Voice,  ,2008-09-26,2008-10-10,,,,,2018-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowdoin College,B.A.,1965-01-01,Georgetown University Law Center,J.D.,1968-01-01,,,,,,,,,,"U.S. Marine Corps, active duty, 1968-1972; U.S. Marine Corps Reserve, 1973-1990; Deputy city attorney, San Diego, California, 1972-1973; Private practice, San Diego, California, 1973-1998; Judge, Superior Court of California, County of San Diego, 1998-2008",,1943-09-30,1677-09-30,Michael M. Anello,43,TX,9,S.D. Cal.,09 - CA-S,DE,2018-10-31,248 days 00:46:06.142480000,09-CA-S-21,,,149 days 00:00:00.000000000,3673 days 00:00:00.000000000,,64.5844883878519,64.5844883878519,09 - CA-S,Senior,651,0
1392036,3040,Houston,John,A., ,9,30,1952,Greensboro,NC,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the Southern District of California,Judge,George W. Bush,Republican,,,Well Qualified,CASD2601,116 Stat. 1758,,2003-05-01,2003-05-01,2003-09-03,Reported (favorably),2003-09-25,Voice,  ,2003-10-02,2003-10-07,,,,,2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate Judge, U.S. District Court, Southern District of California, 1998-2003",,,,North Carolina A&T State University,B.S.,1974-01-01,University of Miami School of Law,J.D.,1977-01-01,,,,,,,,,,"U.S. Army Reserve, 1974-1978, 1981-; U.S. Army, JAG Corps, 1978-1981; Assistant U.S. attorney, Southern District of California, 1981-1998; chief, Asset Forfeiture Unit, 1987-1994; senior counsel for asset forfeiture, 1994-1996; senior financial litigation counsel, 1996-1998",,1952-09-30,1677-09-30,John A. Houston,43,TX,9,S.D. Cal.,09 - CA-S,DE,2018-02-06,515 days 00:46:06.142480000,09-CA-S-26,,,154 days 00:00:00.000000000,5236 days 00:00:00.000000000,,50.58283195411268,50.58283195411268,09 - CA-S,Senior,651,0
1392166,3066,Benitez,Roger,T., ,9,30,1950,Havana,Cuba,9,30,1677, , ,Male,Hispanic,U.S. District Court,U.S. District Court for the Southern District of California,Judge,George W. Bush,Republican,,,Not Qualified,CASD2701,116 Stat. 1758,,2003-05-01,2003-05-01,2004-02-25,Reported (favorably),2004-04-01,Roll Call, 98/1,2004-06-17,2004-06-21,,,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate Judge, U.S. District Court for the Southern District of California, 2001-2004",,,,Imperial Valley College,A.A.,1971-01-01,San Diego State University,B.A.,1974-01-01,Western State University College of Law (now Thomas Jefferson School of Law),J.D.,1978-01-01,,,,,,,"Private practice, Imperial County, California, 1978-1997; Judge, Superior Court of California, County of Imperial, 1997-2001; Instructor, Imperial Valley College, 1998-1999",,1950-09-30,1677-09-30,Roger T. Benitez,43,TX,9,S.D. Cal.,09 - CA-S,DE,2017-12-31,552 days 00:46:06.142480000,09-CA-S-27,,,413 days 00:00:00.000000000,4941 days 00:00:00.000000000,,52.58424197622128,52.58424197622128,09 - CA-S,Senior,651,0
1385431,1703,Moskowitz,Barry,Ted, ,9,30,1950,Paterson,NJ,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of California,Judge,William J. Clinton,Democratic,,,Well Qualified,CASD2201,104 Stat. 5089,,1995-06-30,1995-06-30,1995-09-28,Reported (favorably),1995-10-26,Voice,  ,1995-12-22,1995-12-26,1970-01-01,1970-01-01,,,2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate, U.S. District Court for the Southern District of California, 1986-1995",,,,Rutgers University,B.A.,1972-01-01,Rutgers School of Law -- Newark,J.D.,1975-01-01,,,,,,,,,,"Law clerk, U.S. Court of Appeals for the Third Circuit, 1975-1976; Assistant U.S. attorney, District of New Jersey, 1976-1982; Private practice, Wayne, New Jersey, 1982-1985; Assistant U.S. attorney, Southern District of California, 1985-1986",,1950-09-30,1677-09-30,Barry Ted Moskowitz,42,AK,9,S.D. Cal.,09 - CA-S,DE,2019-01-23,164 days 00:46:06.142480000,09-CA-S-22,,,175 days 00:00:00.000000000,8429 days 00:00:00.000000000,,44.74835212222017,44.74835212222017,09 - CA-S,Senior,651,0
1390811,2795,Herndon,David,R., ,9,30,1953,Sedalia,MO,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of Illinois,Judge,William J. Clinton,Democratic,,,Qualified,ILSD0402, ,,1998-04-23,1998-04-23,1998-07-16,Reported (favorably),1998-07-30,Voice,  ,1998-10-21,1998-10-22,1970-01-01,1970-01-01,,,,Retirement,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern Illinois University Edwardsville,B.A.,1974-01-01,Southern Illinois University School of Law,J.D.,1977-01-01,,,,,,,,,,"Private practice, 1977-1991; Associate judge, Illinois Circuit Court, Third Judicial Circuit, 1991-1998",,1953-09-30,1677-09-30,David R. Herndon,42,AK,7,S.D. Ill.,07 - IL-S,IL,2019-01-07,180 days 00:46:06.142480000,07-IL-S-04,,,181 days 00:00:00.000000000,7382 days 00:00:00.000000000,,44.56217444574495,44.56217444574495,07 - IL-S,Retired,579,0
1391266,2886,Reagan,Michael,Joseph, ,9,30,1954,Albuquerque,NM,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of Illinois,Judge,William J. Clinton,Democratic,,,Qualified,ILSD0601,71 Stat. 586,,2000-05-11,2000-05-11,2000-07-25,Reported (favorably),2000-07-27,Voice,  ,2000-10-03,2000-10-13,1970-01-01,1970-01-01,,,,Retirement,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bradley University,B.S.,1976-01-01,St. Louis University School of Law,J.D.,1980-01-01,,,,,,,,,,"Law clerk, Office of the Appellate Defender, Fifth District, Illinois, 1978; Private practice, 1979-2000; Instructor in business law, Belleville Area College, 1980-1983; Adjunct assistant professor of law, St. Louis University, 1982-1988; Assistant public defender, St. Clair County, Illinois, 1996-2000; Member, Judicial Conference of the United States, 2016-2019",,1954-09-30,1677-09-30,Michael Joseph Reagan,42,AK,7,S.D. Ill.,07 - IL-S,IL,2019-03-31,97 days 00:46:06.142480000,07-IL-S-06,,,145 days 00:00:00.000000000,6743 days 00:00:00.000000000,,45.61353073642854,45.61353073642854,07 - IL-S,Retired,579,0
1388101,2245,Sparks,Sam, , ,9,30,1939,Austin,TX,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the Western District of Texas,Judge,George H.W. Bush,Republican,,,Well Qualified,TXWD0801,104 Stat. 5089,,1991-10-01,1991-10-01,1991-11-14,Reported (favorably),1991-11-21,Voice,  ,1991-11-21,1991-11-25,,,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Texas,B.A.,1961-01-01,University of Texas School of Law,LL.B.,1963-01-01,,,,,,,,,,"Law clerk, Hon. Homer Thornberry, U.S. District Court, Western District of Texas, 1964-1965; Private practice, El Paso, Texas, 1965-1991",,1939-09-30,1677-09-30,Sam Sparks,41,TX,5,W.D. Tex.,05 - TX-W,TX,2017-12-31,552 days 00:46:06.142480000,05-TX-W-08,,,51 days 00:00:00.000000000,9533 days 00:00:00.000000000,,52.00380569073971,52.00380569073971,05 - TX-W,Senior,755,0
1391036,2840,Brown,Anna,J., ,9,30,1952,Portland,OR,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Oregon,Judge,William J. Clinton,Democratic,,,Qualified,ORD0207, ,,1999-04-22,1999-04-22,1999-09-14,Reported (favorably),1999-10-07,Voice,  ,1999-10-15,1999-10-26,,,,,2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland State University,B.S.,1975-01-01,Northwestern School of Law of Lewis and Clark College,J.D.,1980-01-01,,,,,,,,,,"Law clerk, Hon. John C. Beatty, Oregon Circuit Court, Multnomah County, 1978-1980; Private practice, Portland, Oregon, 1980-1992; Judge, Oregon District Court, Multnomah County, 1992-1994; Judge, Oregon Circuit Court, Multnomah County, 1994-1999",,1952-09-30,1677-09-30,Anna J. Brown,42,AK,9,D. Or.,09 - OR,OR,2017-07-27,709 days 00:46:06.142480000,09-OR-02,,,176 days 00:00:00.000000000,6484 days 00:00:00.000000000,,46.558108653839575,46.558108653839575,09 - OR,Senior,463,0
