Ind,Court_Circuit,Court_Name_Long,Court_Name_Short,Court_Abbrev_Bluebook,Court_Abbrev_Website,State_Name,State_Abbrev,Court_Type,Court_Category,Court_Cat_Const
1,Fed,Supreme Court of the United States,United States Supreme Court                           ,U.S.             ,SC,,,Supreme Court,Federal,Article III
2,1,U.S. Court of Appeals for the First Circuit,First Circuit                                                            ,1st Cir.,01 - CCA,,,Court of Appeals,Federal,Article III
3,2,U.S. Court of Appeals for the Second Circuit,Second Circuit,2d Cir.,02 - CCA,,,Court of Appeals,Federal,Article III
4,3,U.S. Court of Appeals for the Third Circuit,Third Circuit,3d Cir.,03 - CCA,,,Court of Appeals,Federal,Article III
5,4,U.S. Court of Appeals for the Fourth Circuit,Fourth Circuit,4th Cir.,04 - CCA,,,Court of Appeals,Federal,Article III
6,5,U.S. Court of Appeals for the Fifth Circuit,Fifth Circuit,5th Cir.,05 - CCA,,,Court of Appeals,Federal,Article III
7,6,U.S. Court of Appeals for the Sixth Circuit,Sixth Circuit,6th Cir.,06 - CCA,,,Court of Appeals,Federal,Article III
8,7,U.S. Court of Appeals for the Seventh Circuit,Seventh Circuit,7th Cir.,07 - CCA,,,Court of Appeals,Federal,Article III
9,8,U.S. Court of Appeals for the Eighth Circuit,Eighth Circuit,8th Cir.,08 - CCA,,,Court of Appeals,Federal,Article III
10,9,U.S. Court of Appeals for the Ninth Circuit,Ninth Circuit,9th Cir.,09 - CCA,,,Court of Appeals,Federal,Article III
11,10,U.S. Court of Appeals for the Tenth Circuit,Tenth Circuit,10th Cir.,10 - CCA,,,Court of Appeals,Federal,Article III
12,11,U.S. Court of Appeals for the Eleventh Circuit,Eleventh Circuit                     ,11th Cir.,11 - CCA,,,Court of Appeals,Federal,Article III
13,D.C.,U.S. Court of Appeals for the District of Columbia Circuit,D.C. Circuit,D.C. Cir.,DC - CCA,,,Court of Appeals,Federal,Article III
14,Fed,U.S. Court of Appeals for the Federal Circuit,Federal Circuit,Fed. Cir.,FD - CCA ,,,Court of Appeals,Federal,Article III
15,11,U.S. District Court for the Middle District of Alabama,Middle District of Alabama,M.D. Ala.,11 - AL-M,Alabama,AL,District Court,Federal,Article III
16,11,U.S. District Court for the Northern District of Alabama,Northern District of Alabama,N.D. Ala.,11 - AL-N,Alabama,AL,District Court,Federal,Article III
17,11,U.S. District Court for the Southern District of Alabama,Southern District of Alabama,S.D. Ala.,11 - AL-S,Alabama,AL,District Court,Federal,Article III
18,9,U.S. District Court for the District of Alaska,District of Alaska,D. Alaska,09 - AK,Alaska,AK,District Court,Federal,Article III
19,9,U.S. District Court for the District of Arizona,District of Arizona,D. Ariz.,09 - AZ,Arizona,AZ,District Court,Federal,Article III
20,8,U.S. District Court for the Eastern District of Arkansas,Eastern District of Arkansas,E.D. Ark.,08 - AR-E,Arkansas,AR,District Court,Federal,Article III
21,8,U.S. District Court for the Western District of Arkansas,Western District of Arkansas,W.D. Ark.,08 - AR-W,Arkansas,AR,District Court,Federal,Article III
22,9,U.S. District Court for the Central District of California,Central District of California,C.D. Cal.,09 - CA-C,California,CA,District Court,Federal,Article III
23,9,U.S. District Court for the Eastern District of California,Eastern District of California,E.D. Cal.,09 - CA-E,California,CO,District Court,Federal,Article III
24,9,U.S. District Court for the Northern District of California,Northern District of California,N.D. Cal.,09 - CA-N,California,CT,District Court,Federal,Article III
25,9,U.S. District Court for the Southern District of California,Southern District of California,S.D. Cal.,09 - CA-S,California,DE,District Court,Federal,Article III
26,10,U.S. District Court for the District of Colorado,District of Colorado,D. Colo.,10 - CO,Colorado,CO,District Court,Federal,Article III
27,2,U.S. District Court for the District of Connecticut,District of Connecticut,D. Conn.,02 - CT,Connecticut,CT,District Court,Federal,Article III
28,3,U.S. District Court for the District of Delaware,District of Delaware,D. Del.,03 - DE,Delaware,DE,District Court,Federal,Article III
29,D.C.,U.S. District Court for the District of Columbia,District of D.C.,D.D.C.,DC - DC,District of Columbia,DC,District Court,Federal,Article III
30,10,U.S. District Court for the Middle District of Florida,Middle District of Florida,M.D. Fla.,10 - FL-M,Florida,FL,District Court,Federal,Article III
31,10,U.S. District Court for the Northern District of Florida,Northern District of Florida,N.D. Fla.,10 - FL-N,Florida,FL,District Court,Federal,Article III
32,10,U.S. District Court for the Southern District of Florida,Southern District of Florida,S.D. Fla.,10 - FL-S,Florida,FL,District Court,Federal,Article III
33,11,U.S. District Court for the Middle District of Georgia,Middle District of Georgia,M.D. Ga.,11 - GA-M,Georgia,GA,District Court,Federal,Article III
34,11,U.S. District Court for the Northern District of Georgia,Northern District of Georgia,N.D. Ga.,11 - GA-N,Georgia,GA,District Court,Federal,Article III
35,11,U.S. District Court for the Southern District of Georgia,Southern District of Georgia,S.D. Ga.,11 - GA-S,Georgia,GA,District Court,Federal,Article III
36,109,U.S. District Court for the District of Guam,District of Guam,D. Guam,09 - GU,Guam,GU,District Court,Territorial,Article IV
37,9,U.S. District Court for the District of Hawaii,District of Hawaii,D. Haw.,09 - HI,Hawaii,HI,District Court,Federal,Article III
38,9,U.S. District Court for the District of Idaho,District of Idaho,D. Idaho,09 - ID,Idaho,ID,District Court,Federal,Article III
39,7,U.S. District Court for the Central District of Illinois,Central District of Illinois,C.D. Ill.,07 - IL-C,Illinois,IL,District Court,Federal,Article III
40,7,U.S. District Court for the Northern District of Illinois,Northern District of Illinois,N.D. Ill.,07 - IL-N,Illinois,IL,District Court,Federal,Article III
41,7,U.S. District Court for the Southern District of Illinois,Southern District of Illinois,S.D. Ill.,07 - IL-S,Illinois,IL,District Court,Federal,Article III
42,7,U.S. District Court for the Northern District of Indiana,Northern District of Indiana,N.D. Ind.,07 - IN-N,Indiana,IN,District Court,Federal,Article III
43,7,U.S. District Court for the Southern District of Indiana,Southern District of Indiana,S.D. Ind.,07 - IN-S,Indiana,IN,District Court,Federal,Article III
44,8,U.S. District Court for the Northern District of Iowa,Northern District of Iowa,N.D. Iowa,08 - IA-N,Iowa,IA,District Court,Federal,Article III
45,8,U.S. District Court for the Southern District of Iowa,Southern District of Iowa,S.D. Iowa,08 - IA-S,Iowa,IA,District Court,Federal,Article III
46,10,U.S. District Court for the District of Kansas,District of Kansas,D. Kan.,10 - KS,Kansas,KS,District Court,Federal,Article III
47,6,U.S. District Court for the Eastern District of Kentucky,Eastern District of Kentucky,E.D. Ky.,06 - KY-E,Kentucky,KY,District Court,Federal,Article III
48,6,U.S. District Court for the Western District of Kentucky,Western District of Kentucky,W.D. Ky.,06 - KY-W,Kentucky,KY,District Court,Federal,Article III
49,5,U.S. District Court for the Eastern District of Louisiana,Eastern District of Louisiana,E.D. La.,05 - LA-E,Louisiana,LA,District Court,Federal,Article III
50,5,U.S. District Court for the Middle District of Louisiana,Middle District of Louisiana,M.D. La.,05 - LA-M,Louisiana,LA,District Court,Federal,Article III
51,5,U.S. District Court for the Western District of Louisiana,Western District of Louisiana,W.D. La.,05 - LA-W,Louisiana,LA,District Court,Federal,Article III
52,1,U.S. District Court for the District of Maine,District of Maine,D. Me.,01 - ME,Maine,ME,District Court,Federal,Article III
53,4,U.S. District Court for the District of Maryland,District of Maryland,D. Md.,04 - MD,Maryland,MD,District Court,Federal,Article III
54,1,U.S. District Court for the District of Massachusetts,District of Massachusetts,D. Mass.,01 - MA,Massachusetts,MA,District Court,Federal,Article III
