Pres_Num,Pres_Name,Pres_Name_Alt,Pres_State,Pres_State_Abbrev,Pres_Term_Start,Pres_Term_End,Pres_Party_Affiliation,,Pres_Birth_Date,Pres_Death_Date,Pres_Gender,Pres_Race_or_Ethnicity,Pres_Name_Last,Pres_Name_First,Pres_Name_Middle,Pres_Name_Suffix
1,George Washington,George Washington,Virginia,VA,"April 30, 1789","March 4, 1797",,,,,Male,White,,,,
2,John Adams,John Adams,Massachusetts,MA,"March 4, 1797","March 4, 1801",,,,,Male,White,,,,
3,Thomas Jefferson,Thomas Jefferson,Virginia,VA,,,,,,,Male,White,,,,
4,James Madison,James Madison,Virginia,VA,,,,,,,Male,White,,,,
5,James Monroe,James Monroe,Virginia,VA,,,,,,,Male,White,,,,
6,John Quincy Adams,John Quincy Adams,Massachusetts,MA,,,,,,,Male,White,,,,
7,Andrew Jackson,Andrew Jackson,Tennessee,TN,,,,,,,Male,White,,,,
8,Martin Van Buren,Martin Van Buren,New York,NY,,,,,,,Male,White,,,,
9,William Henry Harrison,William Henry Harrison,Ohio,OH,,,,,,,Male,White,,,,
10,John Tyler,John Tyler,Virginia,VA,,,,,,,Male,White,,,,
11,James K. Polk,James K. Polk,Tennessee,TN,,,,,,,Male,White,,,,
12,Zachary Taylor,Zachary Taylor,Louisiana,LA,,,,,,,Male,White,,,,
13,Millard Fillmore,Millard Fillmore,New York,NY,,,,,,,Male,White,,,,
14,Franklin Pierce,Franklin Pierce,New Hampshire,NH,,,,,,,Male,White,,,,
15,James Buchanan,James Buchanan,Pennsylvania,PA,,,,,,,Male,White,,,,
16,Abraham Lincoln,Abraham Lincoln,Illinois,IL,,,,,,,Male,White,,,,
17,Andrew Johnson,Andrew Johnson,Tennessee,TN,,,,,,,Male,White,,,,
18,Ulysses Grant,Ulysses S. Grant,Illinois,IL,,,,,,,Male,White,,,,
19,Rutherford B. Hayes,Rutherford B. Hayes,Ohio,OH,,,,,,,Male,White,,,,
20,James A. Garfield,James A. Garfield,Ohio,OH,,,,,,,Male,White,,,,
21,Chester A. Arthur,Chester A. Arthur,New York,NY,,,,,,,Male,White,,,,
22,Grover Cleveland,Grover Cleveland,New York,NY,,,,,,,Male,White,,,,
23,Benjamin Harrison,Benjamin Harrison,Indiana,IN,,,,,,,Male,White,,,,
24,Grover Cleveland,Grover Cleveland,New York,NY,,,,,,,Male,White,,,,
25,William McKinley,William McKinley,Ohio,OH,,,,,,,Male,White,,,,
26,Theodore Roosevelt,Theodore Roosevelt,New York,NY,,,,,,,Male,White,,,,
27,William H. Taft,William H. Taft,Ohio,OH,,,,,,,Male,White,,,,
28,Woodrow Wilson,Woodrow Wilson,New Jersey,NJ,,,,,,,Male,White,,,,
29,Warren G. Harding,Warren G. Harding,Ohio,OH,,,,,,,Male,White,,,,
30,Calvin Coolidge,Calvin Coolidge,Massachusetts,MA,,,,,,,Male,White,,,,
31,Herbert Hoover,Herbert Hoover,California,CA,,,,,,,Male,White,,,,
32,Franklin D. Roosevelt,Franklin D. Roosevelt,New York,NY,,,,,,,Male,White,,,,
33,Harry S Truman,Harry S. Truman,Missouri,MO,,,,,,,Male,White,,,,
34,Dwight D. Eisenhower,Dwight D. Eisenhower,Kansas,KS,,,,,,,Male,White,,,,
35,John F. Kennedy,John F. Kennedy,Massachusetts,MA,,,,,,,Male,White,,,,
36,Lyndon B. Johnson,Lyndon B. Johnson,Texas,TX,,,,,,,Male,White,,,,
37,Richard M. Nixon,Richard M. Nixon,California,CA,,,,,,,Male,White,,,,
38,Gerald Ford,Gerald Ford,Michigan,MI,,,,,,,Male,White,,,,
39,Jimmy Carter,Jimmy Carter,Georgia,GA,,,,,,,Male,White,,,,
40,Ronald Reagan,Ronald Reagan,California,CA,,,,,,,Male,White,,,,
41,George H.W. Bush,George H.W. Bush,Texas,TX,,,,,,,Male,White,,,,
42,William J. Clinton,Bill Clinton,Arkansas,AK,,,,,,,Male,White,,,,
43,George W. Bush,George W. Bush,Texas,TX,,,,,,,Male,White,,,,
44,Barack Obama,Barack Obama,Illinois,IL,,,,,,,Male,African American,,,,
45,Donald J. Trump,Donald Trump,New York,NY,,,,,,,Male,White,,,,
