Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
George Parker Scarburgh,Franklin Pierce,Democratic,1,Read law with Thomas R. Joynes,,1827-01-01,1827,Read law with Thomas R. Joynes,
John James Gilchrist,Franklin Pierce,Democratic,1,Harvard College,,1828-01-01,1828,Harvard,
Isaac Newton Blackford,Franklin Pierce,Democratic,1,College of New Jersey (now Princeton University),,1806-01-01,1806,Princeton,
Edward Greely Loring,James Buchanan,Democratic,1,Harvard College,A.B.,1821-01-01,1821,Harvard,B.A.
James Hughes,James Buchanan,Democratic,1,Indiana University,,,,Indiana,
John Chandler Bancroft Davis,Chester A. Arthur,Republican,1,Read law,,1844-01-01,1844,Read law,
Lawrence Weldon,Chester A. Arthur,Republican,1,,,,,,
William Adams Richardson,Chester A. Arthur,Republican,1,Harvard College,A.B.,1843-01-01,1843,Harvard,B.A.
John Davis,Chester A. Arthur,Republican,1,University of Paris,,,,Uof Paris,
George Wesley Atkinson,Theodore Roosevelt,Republican,1,Ohio Wesleyan University,A.B.,1870-01-01,1870,Ohio Wesleyan,B.A.
Stanton Judkins Peelle,Theodore Roosevelt,Republican,1,"Winchester Seminary, Indiana",,,,"Winchester Seminary, Indiana",
Samuel Stebbins Barney,Theodore Roosevelt,Republican,1,"Lombard College, Galesburg, Illinois",,,,"Lombard, Galesburg, Illinois",
James Hay,Woodrow Wilson,Democratic,1,University of Pennsylvania,,,,Uof Pennsylvania,
George Eddy Downey,Woodrow Wilson,Democratic,1,Indiana Asbury University (now DePauw University),B.A.,1880-01-01,1880,DePauw,B.A.
Edward Kernan Campbell,Woodrow Wilson,Democratic,1,University of Virginia,,,,Uof Virginia,
Samuel Jordan Graham,Woodrow Wilson,Democratic,1,Washington and Lee University,,,,Washington and Lee,
William Raymond Green,Calvin Coolidge,Republican,1,Oberlin College,A.B.,1879-01-01,1879,Oberlin,B.A.
John McKenzie Moss,Calvin Coolidge,Republican,1,Kent College of Law (now Chicago-Kent College of Law),,,,Chicago-Kent,
Fenton Whitlock Booth,Calvin Coolidge,Republican,1,DePauw University,,,,DePauw,
Nicholas John Sinnott,Calvin Coolidge,Republican,1,University of Notre Dame,A.B.,1892-01-01,1892,Uof Notre Dame,B.A.
Joseph Warren Madden,Franklin D. Roosevelt,Democratic,1,University of Illinois,B.A.,1911-01-01,1911,Uof Illinois,B.A.
Richard Smith Whaley,Franklin D. Roosevelt,Democratic,1,University of Virginia School of Law,LL.B.,1897-01-01,1897,Uof Virginia,LL.B.
Samuel Estill Whitaker,Franklin D. Roosevelt,Democratic,1,University of Chattanooga (now University of Tennessee at Chattanooga),LL.B.,1909-01-01,1909,Uof Tennessee at Chattanooga,LL.B.
Charles Bowen Howry,Grover Cleveland,Democratic,1,University of Mississippi Department of Law,LL.B.,1867-01-01,1867,Uof Mississippi,LL.B.
Charles Bowen Howry,Grover Cleveland,Democratic,1,University of Mississippi Department of Law,LL.B.,1867-01-01,1867,Uof Mississippi,LL.B.
Charles Cooper Nott,Grover Cleveland,Democratic,1,Union College,A.B.,1848-01-01,1848,Union,B.A.
Charles Cooper Nott,Grover Cleveland,Democratic,1,Union College,A.B.,1848-01-01,1848,Union,B.A.
Benjamin Horsley Littleton,Herbert Hoover,Republican,1,Cumberland School of Law,LL.B.,1914-01-01,1914,Cumberland,LL.B.
Thomas Sutler Williams,Herbert Hoover,Republican,1,"Austin College, Effingham, Illinois",,1896-01-01,1896,"Austin, Effingham, Illinois",
James Randall Durfee,Dwight D. Eisenhower,Republican,1,Marquette University Law School,LL.B.,1926-01-01,1926,Marquette,LL.B.
Joseph Casey,Abraham Lincoln,Republican,1,"Read law with Charles B. Penrose, Carlisle, Pennsylvania",,1838-01-01,1838,"Read law with Charles B. Penrose, Carlisle, Pennsylvania",
David Wilmot,Abraham Lincoln,Republican,1,"Read law with Hon. William Jessup, Montrose, Pennsylvania",,1832-01-01,1832,"Read law with Hon. William Jessup, Montrose, Pennsylvania",
Ebenezer Peck,Abraham Lincoln,Republican,1,"Read law, Montreal, Canada",,1827-01-01,1827,"Read law, Montreal, Canada",
Charles Daniel Drake,Ulysses Grant,Republican,1,"St. Joseph`s College, Bardstown, Kentucky",,,,"St. Joseph`s, Bardstown, Kentucky",
Samuel Milligan,Andrew Johnson,Democratic,1,Greeneville College,,,,Greeneville,
George Evan Howell,Harry S Truman,Democratic,1,University of Illinois,B.S.,1927-01-01,1927,Uof Illinois,B.S.
Robert Lowe Kunzig,Richard M. Nixon,Republican,1,University of Pennsylvania,A.B.,1939-01-01,1939,Uof Pennsylvania,B.A.
William Henry Hunt,Rutherford B. Hayes,Republican,1,Yale College,,,,Yale,
Glenni William Scofield,James A. Garfield,Republican,1,Hamilton College,,1840-01-01,1840,Hamilton,
Linton McGee Collins,Lyndon B. Johnson,Democratic,1,Mercer University,A.B.,1921-01-01,1921,Mercer,B.A.
John Archibald Campbell,Franklin Pierce,Democratic,1,Franklin College (now University of Georgia),,1825-01-01,1825,Uof Georgia,
Nathan Clifford,James Buchanan,Democratic,1,Read law,,1827-01-01,1827,Read law,
Samuel M. Blatchford,Chester A. Arthur,Republican,1,Columbia College,B.A.,1837-01-01,1837,Columbia,B.A.
Horace Gray,Chester A. Arthur,Republican,1,Harvard College,B.A.,1845-01-01,1845,Harvard,B.A.
"Oliver Wendell Holmes, Jr.",Theodore Roosevelt,Republican,1,Harvard College,A.B.,1861-01-01,1861,Harvard,B.A.
William Henry Moody,Theodore Roosevelt,Republican,1,Harvard Law School,,,,Harvard,
William Rufus Day,Theodore Roosevelt,Republican,1,University of Michigan,,,,Uof Michigan,
James Clark McReynolds,Woodrow Wilson,Democratic,1,Vanderbilt University,B.S.,1882-01-01,1882,Vanderbilt,B.S.
Louis Dembitz Brandeis,Woodrow Wilson,Democratic,1,Harvard Law School,LL.B.,1877-01-01,1877,Harvard,LL.B.
John Hessin Clarke,Woodrow Wilson,Democratic,1,Western Reserve College (now Case Western Reserve University),A.B.,1877-01-01,1877,Case Western Reserve,B.A.
Harlan Fiske Stone,Franklin D. Roosevelt,Democratic,1,Amherst College,B.A.,1894-01-01,1894,Amherst,B.A.
Hugo Lafayette Black,Franklin D. Roosevelt,Democratic,1,University of Alabama School of Law,LL.B.,1906-01-01,1906,Uof Alabama,LL.B.
Felix Frankfurter,Franklin D. Roosevelt,Democratic,1,City College of New York,B.A.,1902-01-01,1902,City New York,B.A.
James Francis Byrnes,Franklin D. Roosevelt,Democratic,1,Read law,,1903-01-01,1903,Read law,
Wiley Blount Rutledge,Franklin D. Roosevelt,Democratic,1,University of Wisconsin,B.A.,1914-01-01,1914,Uof Wisconsin,B.A.
William Orville Douglas,Franklin D. Roosevelt,Democratic,1,Whitman College,A.B.,1920-01-01,1920,Whitman,B.A.
Stanley Forman Reed,Franklin D. Roosevelt,Democratic,1,Columbia Law School,,,,Columbia,
Robert Houghwout Jackson,Franklin D. Roosevelt,Democratic,1,Albany Law School,,,,Albany,
Frank Murphy,Franklin D. Roosevelt,Democratic,1,University of Michigan,A.B.,1912-01-01,1912,Uof Michigan,B.A.
Melville Weston Fuller,Grover Cleveland,Democratic,1,Read law,,,,Read law,
